ID-ES,TERM-ES,INITIAL DEFINITION,QUALIFIER,FINAL DEFINITION,BiBLIOGRAPHY,SYNONYMS,ASSOCIATED TERMS,FACETS,hierarchy,LINK GETTY ID,,A MEJORAR EN LA GETTY,,,,,,,,,,,,
1,Acanalado,"Tejido con estrías o canales distribuidos horizontalmente, realizados con los hilos de urdimbre.
Tejido con estrías o canales, que se obtienen con determinados ligamentos (derivados del tafetán y raso) siempre que vayan acompañados por una cierta densidad y grosor de los hilos de urdimbre  o trama.", atributo,"Del part. de acanalar. Adj. En general tejido con estrías o  bordones paralelos a la trama, realizados con las bastas de urdimbre.  Para que un tejido se denomine acanalado se deben dar tres factores: densidad, ligamento (derivado del tafetán o raso) y grosor de los hilos","Benito, Pilar. Paraísos de seda. Tejidos y bordados de las casas del Príncipe en los Reales Sitios de El Pardo y El Escorial. València: Universitat de València, 2015; Castany Saládrigas, Francisco. Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos.  Gustavo Gil S.A., 1949; Dávila Corona, Rosa, Duran i Pujol, Montserrat, y García Fernández, Máximo. Diccionario histórico de telas y tejidos castellano-catalán. Salamanca: Junta de Castilla y León, 2004; CIETA. vocabulario Técnico Tejidos Español, francés, inglés, italiano. Lyon: Centre  International d’Etude des Textiles Anciens, 1963.
",,"236,517, 2, 556, 237, 346, 361, 347, 540",http://vocab.getty.edu/aat/300264087,512,,,,,,,,,,,,,,,"1--Acanalado--Tejido con estrías o canales distribuidos horizontalmente, realizados con los hilos de urdimbre.
Tejido con estrías o canales, que se obtienen con determinados ligamentos (derivados del tafetán y raso) siempre que vayan acompañados por una cierta densidad y grosor de los hilos de urdimbre  o trama."
2,Acanalado,,ligamento,Del part. de acanalar. Ligamento que presenta bordones paralelos a la trama por bastas de urdimbre,"Castany Saládrigas, Francisco. Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos.  Gustavo Gil S.A., 1949; Dávila Corona, Rosa, Duran i Pujol, Montserrat, y García Fernández, Máximo. Diccionario histórico de telas y tejidos castellano-catalán. Salamanca: Junta de Castilla y León, 2004; CIETA. vocabulario Técnico Tejidos Español, francés, inglés, italiano. Lyon: Centre  International d’Etude des Textiles Anciens, 1963; Galcerán Escobet, V. Tecnología del tejido, Tomo primero: teoría de tejidos. Tarrasa: Editograf Pina, 1960.",,"435, 418, 1, 4, 5,6, 7, 400, 399, 401,  236, 237",http://vocab.getty.edu/aat/300264090,640,,,,,,,,,,,,,,,2--Acanalado--
4,Acanalado alterno,Especie de acanalado transversal cuyas líneas constituidas por bastas de urdimbre en el derecho y por un punto de ligadura en el revés están alternativamente formadas por los hilos pares e impares,,Clase de acanalado transversal cuyas líneas están formadas por bastas de urdimbre en el derecho y por un punto de ligadura en el revés. Intercalan de manera alterna hilos pares e impares,"CIETA. vocabulario Técnico Tejidos Español, francés, inglés, italiano. Lyon: Centre  International d’Etude des Textiles Anciens, 1963; Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,"2,  401, 640, 442",http://vocab.getty.edu/aat/300264090,2,,,,,,,,,,,,,,,4--Acanalado alterno--Especie de acanalado transversal cuyas líneas constituidas por bastas de urdimbre en el derecho y por un punto de ligadura en el revés están alternativamente formadas por los hilos pares e impares
5,Acanalado con dos urdimbres,Ligamento de bordones transversales logrados por bastas de urdimbre sobre fondo tafetán,,Ligamento que forma bordones transversales elaborados por bastas de urdimbre sobre fondo tafetán,"CIETA. vocabulario Técnico Tejidos Español, francés, inglés, italiano. Lyon: Centre  International d’Etude des Textiles Anciens, 1963; Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,"2, 401, 236, 640",http://vocab.getty.edu/aat/300264090,2,,,,,,,,,,,,,,,5--Acanalado con dos urdimbres--Ligamento de bordones transversales logrados por bastas de urdimbre sobre fondo tafetán
6,Acanalado contramostrado,Acanalado transversal cuyos hilos de urdimbre de efecto forman grupos de bastas contramostradas por encima de la urdimbre de fondo según el principio de acanalado con dos urdimbres,,"Acanalado transversal con dos urdimbres, cuyos hilos de urdimbre de efecto forman grupos de bastas contramostradas por encima de la urdimbre de fondo ","CIETA. vocabulario Técnico Tejidos Español, francés, inglés, italiano. Lyon: Centre  International d’Etude des Textiles Anciens, 1963; Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,"2, 401, 640",http://vocab.getty.edu/aat/300264090,2,,revisar con Marí desde el inglés,,,,,,,,,,,,,6--Acanalado contramostrado--Acanalado transversal cuyos hilos de urdimbre de efecto forman grupos de bastas contramostradas por encima de la urdimbre de fondo según el principio de acanalado con dos urdimbres
7,Acanalado de las Indias,"Especie de acanalado transversal con aspecto de raso, cuyos canales poco salientes están formados por bastas contramostradas de hilos de una urdimbre de efecto por encima de un ligamento producido por los hilos de una urdimbre de fondo",,"Especie de acanalado transversal con aspecto de raso, cuyos canales poco salientes están formados por bastas contramostradas de hilos de una urdimbre de efecto por encima de un ligamento producido por los hilos de una urdimbre de fondo","CIETA. vocabulario Técnico Tejidos Español, francés, inglés, italiano. Lyon: Centre  International d’Etude des Textiles Anciens, 1963; Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,"2, 401, 640, 237",http://vocab.getty.edu/aat/300264090,2,,revisar con Marí desde el inglés,,,,,,,,,,,,,"7--Acanalado de las Indias--Especie de acanalado transversal con aspecto de raso, cuyos canales poco salientes están formados por bastas contramostradas de hilos de una urdimbre de efecto por encima de un ligamento producido por los hilos de una urdimbre de fondo"
400,Acanalado longitudinal,"Acanalados longitudinales, con urdimbre gruesa y poco densa, y pasadas finas de mucha cuenta",,"Acanalados longitudinales, con urdimbre gruesa y poco densa, y pasadas finas de mucha cuenta","Giner Bressó, Ramón. Escuela Textil del Colegio del Arte Mayor de la Seda de Valencia. Apuntes de tecnología textil. València: Generalitat Valenciana, 1998.
",,"2, 640",http://vocab.getty.edu/aat/300264090,2,,,,,,,,,,,,,,,"400--Acanalado longitudinal--Acanalados longitudinales, con urdimbre gruesa y poco densa, y pasadas finas de mucha cuenta"
399,Acanalado oblícuo,"Los derivados del raso reciben el nombre de acanalados oblícuos, cuando producen unos surcos o pequeños canales parecidos a los formados por los teletones o acanalados derivados del tafetán, pero dispuestos en línea oblícua.",,"Los derivados del raso reciben el nombre de acanalados oblícuos, cuando producen unos surcos o pequeños canales parecidos a los formados por los teletones o acanalados derivados del tafetán, pero dispuestos en línea oblícua. ","Castany Saládrigas, Francisco. Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos. Gustavo Gil S.A., 1949; Galcerán Escobet, Vicente. Tecnología del tejido, Tomo primero: teoría de tejidos. Tarrasa: Editograf Pina, 1960; Giner Bressó, Ramón. Escuela Textil del Colegio del Arte Mayor de la Seda de Valencia. Apuntes de tecnología textil. València: Generalitat Valenciana, 1998.
",,"2, 237, 640",http://vocab.getty.edu/aat/300264090,2,,,,,,,,,,,,,,,"399--Acanalado oblícuo--Los derivados del raso reciben el nombre de acanalados oblícuos, cuando producen unos surcos o pequeños canales parecidos a los formados por los teletones o acanalados derivados del tafetán, pero dispuestos en línea oblícua."
401,Acanalado transversal,"Los derivados del tafetán que se obtienen por dos medios: 1) empleando hilos finos y densos, y pasadas gruesas y de poca cuenta, 2) Empleando dos plegadores de urdimbre, una para los hilos pares, a los que se dará mucha tensión, y el otro para los impares, que quedarán más flojos o viceversa.",,"Los derivados del tafetán que se obtienen por un lado empleando hilos finos y densos, y pasadas gruesas y de poca cuenta, y por otro, empleando dos plegadores de urdimbre, una para los hilos pares, a los que se dará mucha tensión, y el otro para los impares, que quedarán más flojos o viceversa","Giner Bressó, Ramón. Escuela Textil del Colegio del Arte Mayor de la Seda de Valencia. Apuntes de tecnología textil. València: Generalitat Valenciana, 1998.
",,"2, 236, 4, 5, 6, 7, 640, 363, 543, 556",http://vocab.getty.edu/aat/300264090,2,,,,,,,,,,,,,,,"401--Acanalado transversal--Los derivados del tafetán que se obtienen por dos medios: 1) empleando hilos finos y densos, y pasadas gruesas y de poca cuenta, 2) Empleando dos plegadores de urdimbre, una para los hilos pares, a los que se dará mucha tensión, y el otro para los impares, que quedarán más flojos o viceversa."
,,,,,,,,,,,,,,,,,,,,,,,,----
